student_id,name,year,Math,Physics,CS,English,Statistics,Math_norm,Physics_norm,CS_norm,English_norm,Statistics_norm,year_encoded
S001,Ali,2024,54.0,85.0,80.0,70.0,69.0,0.08000000000000007,0.7272727272727273,0.5652173913043479,0.41463414634146334,0.4600000000000001,0
S001,Ali,2025,66.0,87.0,87.0,73.0,64.0,0.32000000000000006,0.7727272727272727,0.7173913043478262,0.4878048780487805,0.36,1
S002,Sara,2024,89.0,53.0,82.0,59.0,54.0,0.78,0.0,0.6086956521739131,0.14634146341463405,0.16000000000000003,0
S002,Sara,2025,91.0,64.0,94.0,71.0,58.0,0.8200000000000001,0.25,0.8695652173913042,0.4390243902439024,0.23999999999999988,1
S003,Omar,2024,74.0,71.07692307692308,83.0,85.0,83.0,0.48,0.41083916083916083,0.6304347826086958,0.7804878048780488,0.7400000000000001,0
S003,Omar,2025,72.0,97.0,88.0,83.0,95.0,0.43999999999999995,1.0,0.7391304347826089,0.7317073170731707,0.9800000000000001,1
S004,Lena,2024,86.0,73.0,55.0,88.0,70.0,0.72,0.4545454545454546,0.021739130434782705,0.853658536585366,0.4800000000000001,0
S004,Lena,2025,89.0,72.0,56.0,82.0,74.0,0.78,0.4318181818181819,0.04347826086956541,0.7073170731707317,0.5599999999999999,1
S005,Tariq,2024,73.0,67.0,58.0,92.0,85.0,0.45999999999999996,0.3181818181818181,0.0869565217391306,0.9512195121951221,0.7799999999999999,0
S005,Tariq,2025,72.0,78.0,56.0,89.0,89.0,0.43999999999999995,0.5681818181818181,0.04347826086956541,0.878048780487805,0.86,1
S006,Maya,2024,79.0,68.0,87.0,73.92857142857143,70.0,0.5800000000000001,0.34090909090909083,0.7173913043478262,0.510452961672474,0.4800000000000001,0
S006,Maya,2025,77.0,67.0,87.0,81.0,67.0,0.54,0.3181818181818181,0.7173913043478262,0.6829268292682926,0.42000000000000004,1
S007,Khalid,2024,70.0,60.0,54.0,75.0,90.0,0.40000000000000013,0.15909090909090917,0.0,0.5365853658536586,0.88,0
S007,Khalid,2025,81.0,59.0,62.0,86.0,96.0,0.6200000000000001,0.13636363636363646,0.17391304347826098,0.8048780487804879,0.9999999999999999,1
S008,Nour,2024,75.28571428571429,89.0,88.0,62.0,79.0,0.5057142857142858,0.8181818181818183,0.7391304347826089,0.2195121951219512,0.66,0
S008,Nour,2025,51.0,95.0,96.0,70.0,71.0,0.020000000000000018,0.9545454545454546,0.9130434782608696,0.41463414634146334,0.4999999999999999,1
S009,Reem,2024,57.0,84.0,82.0,66.0,53.0,0.14000000000000012,0.7045454545454546,0.6086956521739131,0.3170731707317074,0.14,0
S009,Reem,2025,50.0,82.0,81.0,72.0,46.0,0.0,0.6590909090909092,0.5869565217391306,0.46341463414634143,0.0,1
S010,Jad,2024,94.0,70.0,91.0,81.0,85.0,0.8800000000000001,0.38636363636363646,0.8043478260869565,0.6829268292682926,0.7799999999999999,0
S010,Jad,2025,95.0,78.0,100.0,74.0,73.28571428571429,0.9000000000000001,0.5681818181818181,1.0,0.5121951219512195,0.5457142857142859,1
S011,Hana,2024,84.0,58.0,66.0,71.0,72.0,0.6799999999999999,0.11363636363636354,0.26086956521739135,0.4390243902439024,0.5199999999999999,0
S011,Hana,2025,82.0,63.0,75.0,75.0,76.0,0.6400000000000001,0.2272727272727273,0.4565217391304348,0.5365853658536586,0.6,1
S012,Zaid,2024,52.0,75.0,73.57142857142857,84.0,81.0,0.040000000000000036,0.5,0.42546583850931685,0.7560975609756098,0.7000000000000001,0
S012,Zaid,2025,56.0,73.0,62.0,79.0,83.0,0.1200000000000001,0.4545454545454546,0.17391304347826098,0.6341463414634148,0.7400000000000001,1
S013,Dina,2024,92.0,84.0,66.0,94.0,68.0,0.8400000000000001,0.7045454545454546,0.26086956521739135,1.0000000000000002,0.44000000000000006,0
S013,Dina,2025,100.0,80.0,59.0,87.0,60.0,1.0,0.6136363636363638,0.10869565217391308,0.8292682926829269,0.2799999999999999,1
S014,Faris,2024,64.0,71.07692307692308,67.0,53.0,71.0,0.28,0.41083916083916083,0.28260869565217406,0.0,0.4999999999999999,0
S014,Faris,2025,61.0,88.0,60.0,62.0,65.0,0.21999999999999997,0.7954545454545454,0.1304347826086958,0.2195121951219512,0.38,1
S015,Layla,2024,86.0,58.0,71.0,55.0,81.0,0.72,0.11363636363636354,0.36956521739130443,0.04878048780487809,0.7000000000000001,0
S015,Layla,2025,83.0,55.0,74.0,77.42857142857143,82.0,0.6600000000000001,0.045454545454545414,0.43478260869565233,0.5958188153310104,0.7200000000000001,1
